Date,Product ID,Product Name,Category,Subcategory,Price,Quantity Sold,Total Sales,Discount (%),Store ID,Region,Holiday Flag,Day Type,Loyalty Score
2023-01-01,P001,Wireless Headphones,Electronics,Audio Devices,966,9,8694.0,0,S003,East,0,Weekend,80
2023-01-01,P002,Gaming Laptop,Electronics,Computers,317,13,4121.0,0,S002,East,0,Weekend,83
2023-01-01,P003,Office Chair,Furniture,Chairs,904,7,6011.599999999999,5,S001,South,0,Weekend,90
2023-01-01,P004,Coffee Maker,Appliances,Kitchen,791,19,12774.65,15,S002,East,0,Weekend,70
2023-01-01,P005,Sneakers,Fashion,Footwear,785,10,6672.5,15,S003,East,0,Weekend,83
2023-01-01,P006,Smartwatch,Electronics,Wearable Devices,414,20,7866.0,5,S003,West,0,Weekend,91
2023-01-01,P007,Yoga Mat,Fitness,Accessories,529,3,1587.0,0,S001,East,0,Weekend,99
2023-01-01,P008,Backpack,Fashion,Bags,510,13,5967.0,10,S002,West,0,Weekend,70
2023-01-01,P009,DSLR Camera,Electronics,Cameras,529,6,2856.6,10,S004,East,0,Weekend,86
2023-01-02,P001,Wireless Headphones,Electronics,Audio Devices,1200,9,9180.0,15,S001,North,0,Weekday,84
2023-01-02,P002,Gaming Laptop,Electronics,Computers,1085,12,11067.0,15,S003,East,0,Weekday,89
2023-01-02,P003,Office Chair,Furniture,Chairs,721,20,12257.0,15,S003,East,0,Weekday,90
2023-01-02,P004,Coffee Maker,Appliances,Kitchen,976,10,9272.0,5,S004,West,0,Weekday,61
2023-01-02,P005,Sneakers,Fashion,Footwear,494,20,9880.0,0,S004,South,0,Weekday,96
2023-01-02,P006,Smartwatch,Electronics,Wearable Devices,139,7,875.7,10,S004,West,0,Weekday,98
2023-01-02,P007,Yoga Mat,Fitness,Accessories,235,7,1562.75,5,S004,East,0,Weekday,79
2023-01-02,P008,Backpack,Fashion,Bags,910,7,5414.5,15,S003,South,0,Weekday,76
2023-01-02,P009,DSLR Camera,Electronics,Cameras,260,12,2652.0,15,S004,West,0,Weekday,95
2023-01-03,P001,Wireless Headphones,Electronics,Audio Devices,466,15,6990.0,0,S003,West,0,Weekday,97
2023-01-03,P002,Gaming Laptop,Electronics,Computers,661,8,4494.8,15,S003,North,0,Weekday,87
2023-01-03,P003,Office Chair,Furniture,Chairs,1021,18,17459.1,5,S002,South,0,Weekday,81
2023-01-03,P004,Coffee Maker,Appliances,Kitchen,1118,19,19117.8,10,S002,West,0,Weekday,85
2023-01-03,P005,Sneakers,Fashion,Footwear,1168,10,11096.0,5,S004,East,0,Weekday,96
2023-01-03,P006,Smartwatch,Electronics,Wearable Devices,678,10,6441.0,5,S001,East,0,Weekday,68
2023-01-03,P007,Yoga Mat,Fitness,Accessories,832,8,5990.400000000001,10,S003,West,0,Weekday,69
2023-01-03,P008,Backpack,Fashion,Bags,345,19,5571.75,15,S001,North,0,Weekday,99
